"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 26, 2020","1,577.25","1,545.50","1,579.40","1,545.50","-","2.05%"
"Jun 25, 2020","1,545.50","1,551.25","1,551.25","1,540.93","-","-0.37%"
"Jun 24, 2020","1,551.25","1,551.50","1,570.75","1,549.50","-","-1.24%"
"Jun 23, 2020","1,570.75","1,579.00","1,579.00","1,579.00","-","-0.52%"
"Jun 22, 2020","1,579.00","1,569.00","1,569.00","1,569.00","-","0.64%"
"Jun 19, 2020","1,569.00","1,562.25","1,584.50","1,561.75","-","-0.98%"
"Jun 18, 2020","1,584.50","1,585.25","1,585.25","1,585.25","-","-0.05%"
"Jun 17, 2020","1,585.25","1,585.38","1,586.00","1,576.00","0.07K","0.59%"
"Jun 16, 2020","1,576.00","1,556.75","1,584.50","1,554.05","-","1.41%"
"Jun 15, 2020","1,554.05","1,565.25","1,565.25","1,555.36","-","-0.59%"
"Jun 12, 2020","1,563.25","1,554.25","1,577.50","1,552.75","-","-0.90%"
"Jun 11, 2020","1,577.50","1,608.25","1,608.25","1,582.36","-","-1.91%"
"Jun 10, 2020","1,608.25","1,608.13","1,610.39","1,584.00","-","1.53%"
"Jun 09, 2020","1,584.00","1,581.50","1,584.18","1,581.50","-","0.02%"
"Jun 08, 2020","1,583.75","1,571.13","1,587.85","1,571.00","-","0.81%"
"Jun 05, 2020","1,571.00","1,571.75","1,572.88","1,550.75","-","1.31%"
"Jun 04, 2020","1,550.75","1,548.75","1,548.75","1,548.75","-","0.13%"
"Jun 03, 2020","1,548.75","1,547.00","1,547.00","1,527.75","-","1.37%"
"Jun 02, 2020","1,527.75","1,538.50","1,538.75","1,517.50","-","0.68%"
"Jun 01, 2020","1,517.50","1,524.50","1,535.00","1,524.50","-","-1.14%"
"May 29, 2020","1,535.00","1,524.25","1,534.50","1,524.25","-","0.71%"
"May 28, 2020","1,524.25","1,525.51","1,525.75","1,512.25","-","0.79%"
"May 27, 2020","1,512.25","1,516.25","1,516.25","1,505.50","-","0.45%"
"May 26, 2020","1,505.50","1,508.00","1,508.00","1,492.25","-","0.89%"
"May 22, 2020","1,492.25","1,505.75","1,505.75","1,487.33","-","-0.90%"
"May 21, 2020","1,505.75","1,498.25","1,507.08","1,498.25","-","0.50%"
"May 20, 2020","1,498.25","1,498.25","1,498.75","1,474.65","-","1.60%"
"May 19, 2020","1,474.65","1,471.50","1,478.25","1,470.75","-","-0.24%"
"May 18, 2020","1,478.25","1,480.75","1,481.00","1,443.75","-","3.43%"
"May 15, 2020","1,429.25","1,428.80","1,441.30","1,428.05","-","-0.84%"
"May 14, 2020","1,441.30","1,447.25","1,447.25","1,443.01","-","-0.41%"
"May 13, 2020","1,447.25","1,443.50","1,444.00","1,443.50","-","0.23%"
